,pI,Protein Weight,% Aromatic,% Negative,% Positive,% Hydrophilic,% Cysteine,Protein Abundance,Enzyme Commission Number_0,Enzyme Commission Number_1,Enzyme Commission Number_2,Enzyme Commission Number_3,Enzyme Commission Number_4,Enzyme Commission Number_5,Enzyme Commission Number_6,Particle Size_10,Particle Size_100,Particle Charge_0,Particle Charge_1,Solvent Cysteine Concentration_0.0,Solvent Cysteine Concentration_0.1,Solvent NaCl Concentration_0.0,Solvent NaCl Concentration_0.8,Solvent NaCl Concentration_3.0
count,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0
mean,0.31498720380437245,0.07676154109440758,0.3780038920847579,0.409591938272723,0.29767160025615064,0.41197920099468455,0.11494277690118719,0.07566576328937771,0.6404382470119522,0.0800132802124834,0.08432934926958831,0.08698539176626827,0.033200531208499334,0.028220451527224435,0.046812749003984064,0.8081009296148738,0.19189907038512616,0.8818061088977424,0.11819389110225764,0.8383134130146083,0.16168658698539176,0.6603585657370518,0.1693227091633466,0.17031872509960158
std,0.22332745373467747,0.08267165006926604,0.13877778114214276,0.12392702786243565,0.1301018635612517,0.11881076391909821,0.1221387317220018,0.11763543794081754,0.4799516406759752,0.27135880787869815,0.2779272483799863,0.2818604435715683,0.17918960981803225,0.16562960363271528,0.21127265551555552,0.3938595175955468,0.39385951759554677,0.3228911730812744,0.3228911730812744,0.36822418559832953,0.36822418559832953,0.4736661471754915,0.37509897656585917,0.37597498363251614
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.14578587699316625,0.023668662233032194,0.2875717017343686,0.33433734923313246,0.22637645349578053,0.3262879625659673,0.01944444445961111,0.015804183608166208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
50%,0.23462414578587698,0.05649151610499105,0.3753959292539417,0.3978591435704281,0.2752337481542505,0.3898224423198586,0.09150326793816993,0.06893804694993888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
75%,0.45444191343963547,0.09470629488336417,0.46856299434360565,0.4655172413068965,0.3449024657704398,0.4816317220675412,0.1688447337466231,0.0756657632893775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
max,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
